Абонент	Телефон	Номер_дома	Счет
БОЛЬШОЙ_ЗАЛ	2136118	23	5,53
ЗАМ_ГЕН_ДИРЕКТОРА	30478204	40	55,25
ДЕПО_НАЧАЛЬНИК	70002223	4	49,46
1,2_БРИГАДА_ТЕХНИКОВ	58160414	28	43,21
"ПОМЕЩЕНИЕ_БУХГАЛТЕРИИ_ЧП_""СИГНАЛ"""	2069337	174	34,82
НАЧ_ИНФОРМАЦИОННОГО_ОТД	55955631	91	45,22
ПОЖАРНАЯ_КОМАНДА	78608458	75	50,56
ГЕН_ДИРЕКТОР,ГЛАВ_БУХГАЛТЕР	66682096	18	83,85
"МЧП_""СТС"""	19602247	29	25,58
СИСТЕМЫ_ПЕРЕДАЧ_ВОЛОДАРСКОГО_8	56159154	14	42,01
ГЛ_МЕХАНИК	51660163	3	52,35
КАБИНЕТ_СИППОР	53498190	4	90,99
ОТД_ДОХОДОВ,КОМПЬЮТ_ОТД	374521	70	25,16
ПЛАНОВО-ЭКОНОМИЧЕСКИЙ_ОТДЕЛ	80462174	58	7,95
КАБИНА_13_АУДИОТЕКС	50843422	9	40,81
ФОЕ_ГАРНИЗОННОЙ_ГОСТИНИЦЫ_ЦТЭ_И_РФ	42206091	132	0,86
"ОАО_ТОРГОВЫЙ_КОМПЛЕКС_""ОКЕАН"""	46138847	26	35,13
МАГАЗИН_126	23211368	6	7,65
УПРАВЛЕНИЕ_КУЛЬТУРЫ	58976073	14	48,89
СЛУЖБА_РЕЖИМА	59965973	1	44,11
К.252	15326395	3	55,3
КРЫМСКИЙ_РЕСПУБЛИКАНСКИЙ_КОМИТЕТ_ПРОФСОЮЗА_РАБ._РЫБНОГО_ХОЗЯЙСТВА	69813352	126	5,51
В/Ч_22923	56388495	3	78,64
"МАГАЗИН_""ЯЛИТА""_АП_ОБЩЕСТВЕННОГО_ПИТАНИЯ_""КОРАБЕЛЬНЫЙ"""	93938604	374	84,64
"КАФЕ_""ВАРЕНИКИ"""	85617733	13	91,39
ИНЖЕНЕРЫ_ЭЛЕКТР	40836686	6	55,26
К.43_НАЧАЛЬНИК	76288556	50	54,26
"АПТЕКА_28_ООО_""КРЫММЕДСЕРВИС"""	82315528	56	93,03
АТС-732_ЦТЭ_МТС_ЛИНЕЙНО-ТЕХНИЧ._УЧАСТОК_СТС	99231327	21	52,01
ДИРЕКТОР,КОМЕРЧ_ОТДЕЛ	89151127	22	46,02
В/Ч_А-2239	98953747	119	6
КОСВЕННЫХ_ДОХОД_ОТДЕЛ	77274483	143	82,98
ЦЕНТР_СОЦИАЛЬНОЙ_ЗАЩИТЫ_НАСЕЛЕНИЯ	16510167	29	12,22
МЕХАНИК_ОМТС	29702000	58	81,51
"КРОСС_""ФАТАЛИСТ"""	84305586	22	48,97
СЕЛЬХОЗ._ОТДЕЛ	61856513	160	94,33
ДЕЖУРНЫЙ_ПО_СКЛАДУ	74509141	9	79,55
ПЕРЕГОВОРНАЯ_КАБИНА_4	82142857	45	67,4
ИЗДАТЕЛЬСТВО_ФЛАГ_РОДИНЫ	10572244	37	48,76
СКЛАД_МОРСКОГО_ТОРГОВОГО_ПОРТА	69334578	153	33,36
СТАТИСТИКИ_МАТ_ПРОИЗВОДСТ_ОТД	80889939	5	26,64
СЕВАСТОПОЛЬСКИЙ_ГОРОДСКОЙ_ЦЕНТР_ЗАНЯТОСТИ_НАСЕЛЕНИЯ	11104936	93	54,48
ЗАМ_ГЛАВНОГО_ВРАЧА_ПО_ВТЭК	76477110	13	33,4
СЕВАСТОПОЛЬСКАЯ_ОРГАНИЗАЦИЯ_ОБЩЕСТВА_СПАСЕНИЯ_НА_ВОДАХ_(ОСВОД)	26237571	1	46,1
"СЛУЖБА_КИП_ГКП_""СЕВТЕПЛОЭНЕРГО"""	81487732	52	3,55
ЗАМ_ГЛАВНОГО_ВРАЧА_ПО_АХО	15083299	11	29,38
ОУС-4_ЭЛЕКТРОМОНТЕР,ТП_10	52222482	149	38,06
СПЕЦЧАСТЬ	9231576	53	93,53
ЦОП_И_ПУ_ЦЕХ_КОМПЛЕКСНОГО_ОБСЛУЖИВАНИЯ_И_ПРИЕМА_ПЛАТЕЖЕЙ	88549081	66	59,18
"АПТЕКА_9_ОАО_""ФАРМАЦИЯ"""	83897982	46	62,48
ГЛАВН_БУХГАЛТЕР,ЗАВ_КАНЦЕЛЯР	72379450	40	16,25
"БАР_""ОРИЕНТ_ЭКСПРЕСС"""	18016323	11	74,92
В/Ч_95408	84166883	38	49,7
БУФЕТ_1_ЭТ	74813227	45	77,42
"ГП_""ПРОМТОРГ"""	38806879	107	91,85
"ГКП_ЦЕНТРАЛЬНЫЙ_ГОРОДСКОЙ_ШАХМАТНЫЙ_КЛУБ"""	46783579	14	33,77
ДЕЖУРНЫЙ_43_К.12	71318118	32	3,3
СГПЭС_КОММУТ._ЗАЛ	9866031	206	68,25
(ВНУТРЕННЯЯ_СВЯЗЬ_45)	69529226	25	38,84
ОТДЕЛЕНИЕ_СВЯЗИ_58	58879735	30	77,48
В/Ч_А-0776	61202871	9	68,65
СЕМЕЙНЫЙ_ДЕТСКИЙ_ДОМ_(С.ОРЛОВКА)	33145928	13	63,09
МЕТОДКАБИНЕТ	72288130	31	34,78
"АП_""НЕФТИДА"""	38756558	38	24,16
"ГАРАЖНО-СТРОИТЕЛЬНЫЙ_КООПЕРАТИВ_""МОТОР-1"""	99273352	36	60,51
ДИРЕКТОР	60348958	14	5,33
"ЧП_""ТЕЛЕКОМ-НС"""	89427231	42	29,52
ОТД.КАП.СТРОИТЕЛЬСТВА	92266978	99	88,9
ЦЕХ_РОЗЛИВА_ЛАБОРАТОРИЯ	40991536	10	91,4
УПП	7252415	25	81,5
"ГАЗОВАЯ_СЛУЖБА_ГКП_""СЕВТЕПЛОЭНЕРГО"""	7179099	81	2,02
УЗЕЛ_СВЯЗИ_ДЕЖУРНЫЙ	63131400	10	43,14
АТС-723_ЦТЭ_МТС_ЛИНЕЙНО-ТЕХНИЧ._УЧАСТОК_СТС	53556046	43	82,98
АТС-52	13510926	11	37,7
Ц/Б_1_УПРАВЛЕНИЕ_КУЛЬТУРЫ	15520039	42	23,41
ПУЛЬТ_УПРАВЛЕНИЯ	79087748	79	62,79
ЗАМ_ПРЕД_ПО_КОММУН_ХОЗЯЙСТВУ	85729727	13	3,05
ОТДЕЛЕНИЕ_ЭЛЕКТРОСВЯЗИ_152	15392215	68	39,2
КАБ.514	33997792	37	15,02
К.22	45571434	49	23,47
СЕВЕРНАЯ_СТОРОНА	93851195	1	93,54
"ПОЖАРНАЯ_ЧАСТЬ_5_ОАО_""СЕВМОРЗАВОД"""	21280947	155	91,52
ЦЕНТР_СОЦИАЛЬН.СЛУЖБА_ДЛЯ_МОЛО	88028335	25	87,47
НОВОРОССИЙСКАЯ_45	77327507	27	39,49
УЧАСТОК_УСЛОВНЫХ_ЦЕННОСТЕЙ	98689589	256	79,79
"ПАВИЛЬОН_ТТЦ_""ЭЛЕКТРОН""_ЧП_""ТЭКС"""	92646179	71	6,78
СТАЦИОНАР_ЧЕТВЕРТАКОВА.3	71937793	3	0,96
"ООО_ФИРМА_""ЮЖНЫЙ_КАСКАД"""	25441189	23	38,78
ТРЕНЕРСКАЯ	39685921	36	84,57
"ЧП_""РАТИБОР""_РЕМОНТ_ХОЛОДИЛЬНОГО_ОБОР(БЫТОВЫЕ,ПРОМ)_КОНДИЦИОНЕРОВ"	36672348	45	85,67
1-АЯ_ГОРБОЛЬНИЦА_(ТРАВМПУНКТ)	50440354	62	65,49
НАЧАЛЬНИК_К.46	6111758	14	41,24
ОРГАНИЗАЦ_ОТДЕЛ_ЗАВЕДУЮЩИЙ	30375858	43	24,1
СД_УГПЭС_ГРУППА_ПОСТАВОК	45114565	10	67,59
ПОСТ_ОХРАНЫ,_КОМНАТА_ОРУЖИЯ	38793552	359	92,09
"ЧП_""ЕСЛИ"""	17955290	59	79,57
"ПКФ_""СЕРАФИНО-ЛТД""_(АТЕЛЬЕ)"	24956046	17	11,71
ДОФ_РП_3	55896013	38	75,7
ЭЛЕКТРООТДЕЛ	52064348	40	95,77
ОТДЕЛ_НАЛОГОВ_С_ФИЗ.ЛИЦК.307	57418207	1	94,9
"МП_""ТАВРОС""-МАГАЗИН"	29301373	47	57,21
КАДРОВ_ОТД_ВОЕННО-УЧЕТНЫЙ_СТОЛ	50301989	90	65,54
В/САДОВСКИЙ_СЕЛЬСОВЕТ	78276180	21	30,68
"ОФИС_ЮРИДИЧЕСКОЙ_ФИРМЫ_""ЛОЙЕР"""	81715336	27	60,47
ОК	65359635	20	99,81
ЗАВЕДУЮЩАЯ_ДЕТ.ПОЛИКЛИН.	39608510	38804	63,69
УЧАСТОК_ПО_ПРИЕМУ_ПЛАТЕЖЕЙ	77778690	209	68,31
СЛУЖБА_АВТОМАТИКИ_И_СВЯЗИ_ЭКОН	28233833	82	59,41
К.10	28617678	2	39,51
УЧЕБНЫЙ_КОРПУС_СЕВ.ФИЛИАЛА_КИЕВСКОГО_ИНДУСТР-ПЕДАГОГИЧЕСКОГО_КОЛЛЕДЖА	28392668	92	95,42
ЖДУ_ЭЛЕКТРОМЕХАНИК	19990750	2	28,68
ДЕПАР_ТЕОРЕТ_МЕХАНИКИ_ЛАБОР	73971634	3	12,93
"О.О.О._""ИНДСТРОЙ-СЕРВИС"""	39209152	42	89,85
ОТК-ХИМЛАБОРАТОРИЯ	80409913	23	75,02
ДЕПАРТАМЕНТ_ПЭОТ	82608794	63	9,44
5-ОЕ_ОТД_БУХГАЛТЕРИЯ	83889220	19	6,91
"МАГАЗИН_СД_УГПЭС_""УКРТЕЛЕКОМ"""	95670679	11	17,39
ПУНКТ_ВЫДАЧИ_КОЛОБОВА_15/141А	83822638	52	28,54
ЭПУ	35846702	69	83,25
БЕСПЛАТНЫЙ	55013121	1	78,62
ШКОЛА-ИНТЕРНАТ_2_(ВСПОМОГАТЕЛЬНЫЙ)	89230789	50	84,51
"ГКП_""СЕВТЕПЛОЭНЕРГО"""	12864689	268	17,36
"ЖСК_""ЮЖНОБЕРЕЖНЫЙ"""	5406263	105	77,21
"КАФЕ_""ХЕРСОНЕС"""	36377883	6	1,92
ПРИЕМНАЯ_К.210	5718496	14	39,95
ГОРОДСКОЙ_ВРАЧЕБНО-ФИЗКУЛЬТУРНЫЙ_ДИСПАНСЕР	73804157	63	19,68
ОФИС_2-ОЙ_ЭТАЖ	30827110	25	47,68
СТАРШИЙ_ФЕЛЬДШЕР	6900667	14	82,57
"ЧП_""РУФ"""	77804312	2	87
"ЗАО_СЕВАСТОП._ИНСТИТУТ_""ГИМНТИЗ"""	5459962	14	36,04
"АГРОФИРМА_""ЗОЛОТАЯ_БАЛКА"""	6574577	74	61,7
ДЕТСКИЙ_САД_39	45509313	9	30,18
НАЧАЛЬНИК_РВО	55307384	37	15,23
ОХРАНА_ОРУЖЕЙНОЙ_КОМНАТЫ	2048389	56	3,25
"РЕДАКЦИЯ_ГАЗЕТЫ_""СЛАВА_СЕВАСТОПОЛЯ"""	17433721	22	77,54
КВАНТ_АТСКЭ_710	60504553	49	25,65
ГЛАВНЫЙ_ИНЖЕНЕР_ПРОЕКТОВ	65132165	7	26,21
ЗАМ_НАЧ_ОУР	39969082	110	30,5
РЕАБИЛИТАЦИИ_ОТД	69122194	53	9,42
КАБ.23	8749834	48	41,49
ОТД_ПОСТАВОК_НАЧАЛЬНИК	92940779	43	36,11
ПРОХОДНАЯ,СТОЛОВАЯ	94599958	55	48,74
ПАСПОРТНЫЙ_СТОЛ_ЛЕНИНСКОГО_РАЙОТДЕЛА_УМВД	98727901	131	42,51
"РЕДАКЦИЯ_ГАЗЕТЫ_""ТРУЖЕНИК_МОРЯ"""	18363617	58	69,84
ОТДЕЛЕНИЕ_ГОСУДАРСТВЕННОГО_КАЗНАЧЕЙСТВА_ПО_ГАГАРИНСКОМУ_РАЙОНУ	7112671	313	81,71
"ЗАО_""НПП_С.Т.КОМ"""	69793394	27	72,79
ОТДЕЛ_НАУЧНО-ТЕХНИЧЕСК_ПРОГРЕС	73466999	94	84,13
"ЗАО_ИНВЕСТИЦИОННО-ФИНАНСОВАЯ_КОМПАНИЯ_""М_ОСТ-С"""	38729025	38	59,58
"ЧП_""ТВИК"""	32384962	139	40,91
ГИНЕКОЛОГИЧЕСКОЕ_ОТД	91912166	13	9,75
"ГКП_КИНОВИДЕОПРОКАТ_БАЛАКЛАВСКОЙ_Р-ОЙ_ДИРЕКЦИИ_КИНОСЕТИ_К/Т_""РОДИНА"""	81975640	10	1,9
ОБЩ.ТОРГОВЛИ_№_2	39015902	73	16,74
"МАГАЗИН_""ОХОТНИК""_ООО_""СУДОСТРОЕНИЕ"""	27150366	12	50,49
"МАГАЗИН_""ДЖУЛИЯ""_ТОРГОВЫЙ_ДОМ_(МАГ_ПРОМ)"	63905352	44	20,05
ОТРАСЛЕВОЕ_ОДЕЛЕНИЕ_УПОЛНОМОЧ	45050498	27	10,33
ГРУППА_ВЕНТИЛЯЦИИ	79661386	20	86,98
НАЧАЛЬНИК_ОК_И_С	78788729	36	26,63
"ФИРМА_""ИНТЕРСИСЕРВИС"""	36710699	11	64,79
БУХГАЛТЕР,СКЛАД,ОК	7730182	13	50,89
"МЧП_""ИРИДА"""	59099763	7	57,86
СЕВАСТОП_УЧАСТОК	4499177	30	21,45
К.163	6829933	20	27,28
ПЕРВЫЙ_ЗАМ.НАЧАЛЬНИКА_К.212	28883279	37	15,68
ОТДЕЛ_БЛАГОУСТРОЙСТВА	68389752	25	74,67
335001_П/О_СЕВМОРЗАВОД_ИМ_С.ОРДЖОНИКИДЗЕ	1911682	11	93,2
"АПТЕКА_30_ОАО_""ФАРМАЦИЯ"""	16923795	194	30,33
"МП_""КРЫМ-АЭРОТКОСМИЧ_АГЕНТСТВО"	25681271	48	71,79
